Scene_Name,step,historyId,type,answer,text-自學,text-導學,speaker,correct,autoNext,audio-自學,audio-導學,UniqueId,
VR_Sample,5,906,answer,<image:rose.png>,這個是玫瑰!,<pass>,default_image,FALSE,0,24,25,KNXSJAFYSEOYGUAHUXDUOXJNTYSTCHACVBYGXENIPNHLZX,
VR_Sample,6,903,text,,拿放大鏡觀察看看向日葵吧~,,default,,0,26,27,XZPLGJWNRZCYHBYDLOVEBKLCRHILVXRLOWEQSCVRMPHJNB,
VR_Sample,7,903,text,,很棒，我們待會見,,default,,-1,28,29,KRXSOMIWAGZNOZMAGKASVCXFLWMWPTZNJOVKVKVHPACCXO,
VR_Sample,8,903,text,,這裡是自學模式的結尾,<pass>,default,,-1,30,31,UFQLBVNRRTQHXNQKFBKEBBWFSEAWNMIQTGJPYJBYKLVPFY,
VR_Sample,9,903,text,,<pass>,這裡是導學模式的結尾,default,,-1,32,33,UZKDFKCFDHIBNDPTHSTFTXQSQJJKAUIJKKPKFRKOATYTAS,
VR_Sample,10,903,text,,掰掰,,default,,-1,34,35,MDZTQCPUUWLCGQQPKEGTFSHRZCQFWYYMJLRYFHTUYLHNXA,
2_Chapter_1,0,101,text,,歡迎來到第一單元，在這單元裡，我們要來認識動物、植物、以及非生物哦!,,default,,3,36,37,KVGPWGZPIGMZOWZCLMVYZDXTMRGTIFOXKSZOQAKKLCUBPL,
2_Chapter_1,1,102,text,,在我們的生活中到處都充滿著活力，在四周觀察看看，有哪些是動物?哪些是植物?哪些是沒有生命的非生物呢?,,default,,0,38,39,YDJEMPYTVVJWAPPVTPIWVDAUXCKXXGGIRVSHNMSAOBVOZO,
2_Chapter_1,2,103,text,,這是棵大榕樹，雖然它不會動，但是會隨著時間慢慢地長大。,,default,,3,40,41,DQBZMINUPQUFTBBCVYFSETNNNCXJCDFXTIAGHQREHUFTPJ,
2_Chapter_1,3,104,question,,它應該是動物、植物、還是非生物呢?,,default,,5,42,43,MODTFODFUSMNEKZUJTQMQPSLYNAPKLPFPAFVSOEDKGMTBT,
2_Chapter_1,3,105,tip,,這個物件會隨著時間慢慢長大，而且它是自然生長出來的。想一想，什麼東西會慢慢長大?,,default,,5,44,45,ZSGGCUHXMKUSSDUYYMJPILIFRKBEYRARANJJNKOSUMADJZ,
2_Chapter_1,3,106,tip,,這個物件有生命，但是它不會像動物一樣到處走動。你覺得什麼類型的生物是這樣的呢?,,default,,-1,46,47,KCLXEYHFEOXJCLEBHVHQALIRZIEFGCBHDZHYTXKIUNQTCH,
2_Chapter_1,3,107,answer,動物,榕樹並不會移動哦!再想想吧!,,default,FALSE,0,48,49,EMFIFXDYPURSZVYFHLBTSBCZAJCTJALYLHPGZBALHTRJOH,
2_Chapter_1,3,108,answer,植物,沒錯，榕樹屬於植物的一種哦!,,default,TRUE,0,50,51,MASGMCKDBTFEPNUIYTBGJIEZFLYVIPAKZKTNOMNBCGWZVU,
2_Chapter_1,3,109,answer,非生物,非生物是不會長大的哦!再想想吧!,,default,FALSE,0,52,53,VOOFCARRQUOGEUTEDZYGXVABQRCXNZGYWQCZHVIGMMENQN,
2_Chapter_1,4,110,text,,這是朵長春花，雖然它不會移動，但是會隨著時間慢慢地長大並開花。,,default_image,,3,54,55,TPUJRENMGWUHBKGGWIVKJAKBPRDWHBKNJJZTNKZGSSMZOA,
2_Chapter_1,5,111,question,,它應該是動物、植物、還是非生物呢?,,default_image,,5,56,57,TXVRMRJZXZEORLMXCXWDUHDIPDDKAEXWCHUCUTGXSFKAPP,
2_Chapter_1,5,112,tip,,這個物件會慢慢長大，還會開花。想一想，什麼東西會開花?,,default,,5,58,59,PBMTAEIZTNKZUIYNMNUDHUBLFBDUQTHDLWMOERWLXFFYNG,
2_Chapter_1,5,113,tip,,這個物件有生命，但它不會像動物一樣到處走動。它的生長過程中會開花，這通常是什麼類型的生物特徵?,,default,,-1,60,61,ZHQAFUVOFNCCAISXUQRRCUOKLZSLQMGCHPFQEYPRZEPDTQ,
2_Chapter_1,5,114,answer,動物,長春花並不會移動哦!再想想吧!,,default_image,FALSE,0,62,63,SHPPOBCUGYPZPFLDJPRHZAMWKHXBJDZNRRQQEUROSKMBVJ,
2_Chapter_1,5,115,answer,植物,沒錯，長春花屬於植物的一種哦!,,default,TRUE,0,64,65,YQKKBQWTFIETOXEPRPWGGIOLBWWOFUYWUHXKIMHORFTPBR,
2_Chapter_1,5,116,answer,非生物,非生物是不會長大的哦!再想想吧!,,default,FALSE,0,66,67,XMXHOYSMYLAMRFKJKUUCYMYBVEANGEBTQRYTCQZCCXLMSB,
2_Chapter_1,6,117,text,,這是顆石頭，石頭不會長大，也不會長出小石頭。,,default,,3,68,69,SXXLGBLIZPSIKWGDREOLUMTDPJCOIHQEKOHPWLXUZVBCFT,
2_Chapter_1,7,118,question,,它應該是動物、植物、還是非生物呢?,,default,,5,70,71,XPWQVDDTCJPWNDCPUSMYBBXQNREAWMHTTOLMLTKYETRLFZ,
2_Chapter_1,7,119,tip,,這個物件沒有生命，它不會隨時間改變，也不會生長。想一想，什麼東西是沒有生命的?,,default,,5,72,73,ORTLAICHUBPTFFSTGTTYBFOTZSHMSCCEDMZFNGWFWIPSWA,
2_Chapter_1,7,120,tip,,這個東西是自然界中很常見的，但它不是活的，不需要陽光、水分來生長。這會是非生物嗎?,,default,,-1,74,75,KKVNKDYXHPFBGJHOXOMTNTDNKGLTSGFOJGMAOZXELKGFHA,
2_Chapter_1,7,121,answer,動物,石頭並不會自己移動哦!再想想吧!,,default,FALSE,0,76,77,RUKFCRGEDPRFCNQCITPVBHBRWXDXJKSEKVSWMSSRKOZURH,
2_Chapter_1,7,122,answer,植物,石頭不會移動，也不會隨著時間長大，再想想吧。,,default,FALSE,0,78,79,WKXLXYBOZYZVFKKATYSUUPGKNNVBYRAJHZIBZJNLFVYIMW,
2_Chapter_1,7,123,answer,非生物,沒錯，石頭屬於非生物的一種哦!,,default,TRUE,0,80,81,HPQDMUBWOUQTBGZYCYFZOLNPCKASCWESIPCAXLCUEJMXMH,
2_Chapter_1,8,124,text,,這是個花盆，花盆不會長大，也不會隨著時間長出新的小花盆。,,default,,3,82,83,TLDGGYWMWCIPSZILHMRCBNEVZXWUHCCWPBGJWWHBXVACXD,
2_Chapter_1,9,125,question,,它應該是動物、植物、還是非生物呢?,,default,,5,84,85,TJCETUJTJFCJWEVLDBRCVDILZYHQGJPEWKOGPVHQRLCSAW,
2_Chapter_1,9,126,tip,,這個物件沒有生命，它被用來裝土和植物。想一想，什麼東西不會長大?,,default,,5,86,87,NOEYZQEZLOSVZJSZBJCOCAZBBDISHEVBNRCNOAZVYTUAXK,
2_Chapter_1,9,127,tip,,這個東西通常是人們製造出來的，它沒有生命，也不會改變。這會是非生物嗎?,,default,,-1,88,89,HFSKGVFCLJXVPTGGJODFLHLXBWRLNZPJTCIYWVQJRBUDEU,
2_Chapter_1,9,128,answer,動物,花盆並不會自己移動哦!再想想吧!,,default,FALSE,0,90,91,LVPXPPTPBLYOEPGWMCCHHXIGPKGSNWFWRNOSUDQTRUQXYP,
2_Chapter_1,9,129,answer,植物,花盆不會移動，也不會隨著時間長大，再想想吧!,,default,FALSE,0,92,93,HNBEDUPRLOWPJLAJPJFMCZPDPEKPOSTBECZAMQVSPTJPZT,
2_Chapter_1,9,130,answer,非生物,沒錯，花盆屬於非生物的一種哦!,,default,TRUE,0,94,95,RFJNFODRQTNFAGMJSJLSAYKNPCPRVFZVODKUXLVHDJPOWX,
2_Chapter_1,10,131,text,,這是泥土，泥土不會長大，也不會隨著時間變成更大的土堆。,,default_image,,3,96,97,AMLCILVWGUIMTJNPRPLNOHIUTEYOQYYDWTUCPHUBPEPAEP,
2_Chapter_1,11,132,question,,它應該是動物、植物、還是非生物呢?,,default_image,,5,98,99,PZTHROOILKOPFVSXWDAENFITOSIBFJPWWGTMTXZDSRELGR,
2_Chapter_1,11,133,tip,,這個物件是由許多小顆粒組成的，雖然它沒有生命，但對植物非常重要。想一想，這通常是什麼?,,default,,5,100,101,AQNVNOFHPYAXKWGRTLVYSNGICTROWMWZLADUTXXQYAWIOU,
2_Chapter_1,11,134,tip,,這個東西是植物生長的基礎，但它本身並沒有生命，無法生長或繁殖。這會是非生物嗎?,,default,,-1,102,103,QLULVPGYHAMXMWXSWYHDFJATJOQWACDCALFWFBFXXVBMXA,
2_Chapter_1,11,135,answer,動物,泥土並不會自己移動哦!再想想吧!,,default_image,FALSE,0,104,105,DRVMHACNVNSTKIYFLFHFCMUKJGQDIXLVEJUIMKZEZAJJQI,
2_Chapter_1,11,136,answer,植物,泥土不會移動，也不會隨著時間長大，再想想吧!,,default,FALSE,0,106,107,RQRRXPLHPOZOPLIKZPCYLFVOBWWVCKYWXBLJAKLVSUIVWK,
2_Chapter_1,11,137,answer,非生物,沒錯，泥土屬於非生物的一種哦!,,default,TRUE,0,108,109,BMSAMZFPDLRXNZUIQVQGLZDCPPOROYNDKVVNYPKISWFKNM,
2_Chapter_1,12,138,text,,這是一隻白頭翁。它會飛翔、覓食，並且隨著時間成長。,,default,,3,110,111,MPOWYRZIBUQFQYAVKOJYFBUMPCLZSQRBJMZJPDKOCSBATQ,
2_Chapter_1,12,139,question,,它應該是動物、植物、還是非生物呢?,,default,,5,112,113,KUPUOHZTTSCCXESOAXXUUEWCQANJDHIRICDLNNLQTTJRHA,
2_Chapter_1,12,140,tip,,這個物件有生命，會飛翔並覓食。想一想，什麼東西會飛?,,default,,5,114,115,KHMLLGQUCHQKHGMRCHQFKMFUWXKMOSWLHZGOXNSDODAQMZ,
2_Chapter_1,12,141,tip,,這個生物能夠到處移動、尋找食物，並且會飛。這會是植物嗎?還是動物?,,default,,-1,116,117,KRZAARXQJGBFSSDBPYFVAQYFPSRRUTDNPDATCCTLYOJWUF,
2_Chapter_1,12,142,answer,動物,沒錯，白頭翁屬於動物的一種哦!,,default,,0,118,119,FSJGTGBCKBPABSGPQPNQLYCJTVQQDUEFSEYOTCRJKFTFEA,
2_Chapter_1,12,143,answer,植物,白頭翁除了會像植物一樣成長以外，還會到處移動，再想想吧!,,default,,0,120,121,MSNUZIALKJPHVDWDJFPRDFTLKMPUBSAAYLWKGMFGLHIOFQ,
2_Chapter_1,12,144,answer,非生物,白頭翁不僅會成長，還會移動哦!再想想吧!,,default,,0,122,123,UFVWEBFVCOGWHLFYKHBEIRCFYRXYVESBNDKKOPOKKYXTKW,
2_Chapter_1,13,145,text,,接下來讓我們拿起其中一種植物並觀察，看看植物中有哪些不同的構造吧!,,default,,-1,124,125,BRNBPQSIBHWPSEPNHXPIFHROKZQUQAHJVUBJYKSKXCUYBL,
2_Chapter_1,13,146,text,,你拿起了長春花。你可以找到一個部分，它通常是綠色的、扁平的，而且還可以捕捉陽光嗎?,,default,,5,126,127,AWFDQJKHOYOAWXQBEGCAOHGYXAFULNHVEDFJMMTINSOJWH,
2_Chapter_1,14,147,tip,,這個部分通常是植物上最多的部分，它們幫助植物吸收陽光。想一想，什麼東西在植物上會展開來捕捉陽光?,,default,,5,128,129,OSFACYRJCYBRSHKQFPWCBBNISVTLWPFGRKRIQXIZJICPTY,
2_Chapter_1,14,148,tip,,這個部分通常是平的，可以進行光合作用，這是植物製造食物的方式。你能找到它在哪裡嗎?,,default,,-1,130,131,KOTBLIOUOTAXGXJFYZGWAGVAUPVXAGUZLMLQMEWDRSKQTD,
2_Chapter_1,14,149,text,,不是這個哦!,,default,,-1,132,133,WDWCPCEHTAGHVHOUPUXEEKNCPESLFCVNSPDVCEZWEKWVCT,(選到不對的部位)
2_Chapter_1,14,150,text,,很好，這就是葉子。葉子是植物的養分工廠，它們通過光合作用將陽光轉化成為養分，並幫助植物生長哦!,,default,,-1,134,135,IROPVHNCUMEOSUZEVOZYQLTUJFKVFJGGVFYAYZNGKSYOJD,
2_Chapter_1,15,151,text,,再來找找看，你能找到一個部分，通常位於植物的中間，它看起來像是植物的主幹，負責連接整株植物嗎?,,default,,5,136,137,TGYXKLSGXXNKUTSRPAWJVJSBIIQFUFYZYTTEEWXPXDIEUH,
2_Chapter_1,15,152,tip,,這個部分在植物的中心位置，從底部開始，向上延伸，支撐著植物的其他部分。你能看到它嗎?,,default,,5,138,139,POGUCFCQZWXCUNZNUDVRBROUKFJNFUNTKQFEPFIHBZZOMQ,
2_Chapter_1,15,153,tip,,這個部分像是植物的柱子一樣，它負責將植物的各個部分連接起來，通常是長條形的，位於植物的中間。這會是什麼呢?,,default,,-1,140,141,DIZJLIJGCBDUHLEDSWQHYQZQHVQDXSUFGHZBNVJHBSNZBY,
2_Chapter_1,16,154,text,,很好，這就是植物的莖。大部分植物莖的主要任務是支撐整株植物，並且是運輸水分與養分的中繼站。,,default,,-1,142,143,VWTTKVNTSRUSXQWLCBIFTZFYFRVFEXRCPTPQJSDSWYTMNA,
2_Chapter_1,17,155,text,,讓我們再次觀察這棵植物。你能找到一個部分，通常位於植物的底部，長的細長，是負責吸收水分和礦物質的嗎?,,default,,5,144,145,VXZWVYDDGNBNWJNILYMCWMOQZCZNTSDRFXRBHUKDRISFVT,
2_Chapter_1,17,156,tip,,這個部分通常埋在土壤中，植物靠它來吸收水分和營養。想一想，什麼部分會在土壤中生長?,,default,,5,146,147,RQPEKVOWJYHVONOEBEJOPCIFPAWUHQRZYIDAKALTPIAQHB,
2_Chapter_1,17,157,tip,,這個部分從植物的底部向下生長，它是細長的，通常我們看不到它，因為它埋在土裡。你知道這是什麼嗎?,,default,,-1,148,149,NRKCFPCLDMEWKVUWPBSIHFPADCCDLUVMCXJUSMXQFUYKGE,
2_Chapter_1,18,158,text,,很好，這就是植物的根。它主要負責吸收水分和礦物質，還要幫植物抓緊土壤，才不會讓植物輕易的被風吹走哦!,,default,,-1,150,151,TWTISOVPIRXIVZGDQYRJQOWBDGVLTZAEGDZTUYYVZTRVNC,
2_Chapter_1,19,159,text,,讓我們拿起另一種植物並觀察，看看跟上一株植物有哪些不同的地方吧!,,default,,-1,152,153,HUUJQVTXHRSIUEMUVGZGHTTZGXYKHCVMXFEETKLSVPFTHO,
2_Chapter_1,20,160,text,,你拿起了仙人掌。你可以幫我找到仙人掌的葉子嗎?,,default,,5,154,155,MSBPOQLUPNHLVPTIVNKBABLEQHSEIIRIVTLWJXQUKPASPR,
2_Chapter_1,20,161,tip,,想一想，仙人掌的葉子看起來可能和長春花的葉子不太一樣。你能找到它們在哪裡嗎?,,default,,5,156,157,DLJNWIQAOAOHSKCBSDGVOGDBJIZCKANMUZJMPYXCNAWDII,
2_Chapter_1,20,162,tip,,仙人掌的葉子非常特別，通常不是扁平的，而是變成了小小的、尖尖的形狀。你能找到這些部分嗎?,,default,,-1,158,159,OQLMKWAHWFOHDEAXDGHPBRJFYISELDMZBBHVULCQSFTBZY,
2_Chapter_1,21,163,text,,仙人掌的葉子通常是細針狀的，這是為了防止仙人掌在沙漠中水分散失過多。雖然外觀不太一樣，但同樣可以行光合作用哦!,,default,,-1,160,161,TQBGVHHUSLYOGRPNXKKYZITYQCIMOWYBDBDRVMGULXMCQH,
2_Chapter_1,22,164,text,,現在，請你仔細看看仙人掌的其他部分。你能找到一個部分，它看起來像是植物的主幹，並且負責支撐整株植物嗎?,,default,,5,162,163,XJXLBLKEPXBLOELNYSKPGXLZZNNJMZFBSMSCFORMNJUIHK,
2_Chapter_1,22,165,tip,,這個部分是仙人掌的中心部位，像植物的‘柱子’一樣，支撐著所有的其他部分。它通常是粗壯的、長條形的。你能看到它嗎?,,default,,5,164,165,LPKYPAIIINXCHFLUHTSSZRAAMOFHGIBZBCXRBQDVOFIOLL,
2_Chapter_1,22,166,tip,,這個部分從仙人掌的底部延伸到頂端，負責支持整株植物的重量，是主要的結構部分。仔細看看，這個部分在哪裡呢?,,default,,-1,166,167,SDSTQJBBVYXUTGGQZNVDIGALDOMILZDMHRPTWPYBKEIMRO,
2_Chapter_1,23,167,text,,很好，這就是仙人掌的莖。仙人掌的莖通常又粗又多肉，這是因為仙人掌主要靠莖來儲存水分，並且莖也能進行光合作用哦!,,default,,-1,168,169,FDDOIPPWBUXJCERMETBZNKRZRXTRGYIVPTQAWLSKYIBMUV,
2_Chapter_1,24,168,text,,再來，讓我們觀察仙人掌的底部。你能找到仙人掌的根嗎?,,default,,5,170,171,YOMTLCNSXQQHFAWQRHUJCBFNTDUFRFHRYUTKZTABGYZHDC,
2_Chapter_1,24,169,tip,,仙人掌的根通常在植物的底部，它們會伸入土壤中。仔細看看底部，找一找那個細長的部分。,,default,,5,172,173,BJDLIPZRONIUIOKTOEKBDGBXFLIRZOIOTEPBNRNDFOVBWS,
2_Chapter_1,24,170,tip,,仙人掌的根不像莖那麼明顯，但是它們在底部是細長的，像是植物的‘腳’。它們會伸展在土壤中，幫助植物吸收水分。這個部分在哪裡呢?,,default,,-1,174,175,UJQXIJHUOCQUHPBZYDTODLESZRKNHKWGZPYYNKEEERXORM,
2_Chapter_1,25,171,text,,很好，這就是仙人掌的根，負責吸收水分和礦物質。雖然仙人掌的根通常較淺，但它們能快速吸收雨水，並在乾旱的沙漠環境中幫助仙人掌生存。,,default,,-1,176,177,QKRFVPIRCPTECXSCEGLVIMMDDVZMQCOCJXQPZRXPNIBKEF,
2_Chapter_1,26,172,text,,讓我們拿起另一種植物並觀察，看看跟上一株植物有哪些不同的地方吧。,,default,,-1,178,179,KGOGOEVGKJUCPVXQGLRMVKFAEDARGPIBNSURKDTCRJZOTV,
2_Chapter_1,27,173,text,,你拿起了榕樹。你能找到榕樹的葉子嗎?,,default,,5,180,181,HJLSXJOXSQVTROKNGXNNVJZXTNLGYASGBVRGCNZTHHCAHA,
2_Chapter_1,27,174,tip,,榕樹的葉子通常是綠色的，長在樹枝上。你可以找找看，榕樹上有沒有這種綠色的、扁平的部分?,,default,,5,182,183,JXFXTBDUTCVJUWCQTZLUGFXETIGXPMROHXSDWSOXVTDHFI,
2_Chapter_1,27,175,tip,,這些葉子通常會在榕樹的樹枝上展開，像是小小的綠色片狀物。仔細觀察榕樹，看看哪些部分是這樣的?,,default,,-1,184,185,UCHIQRRCSZZVUZEAYAHYUEHNZVLGPJORALHRHQVSKXMZKZ,
2_Chapter_1,28,176,text,,沒錯，這就是榕樹的葉子。它們通常是綠色的、厚實的，形狀有點像橢圓。,,default,,-1,186,187,QPVEOMRPSHIKVPWAWXRFVWOZVWWFDCKWBLJHGHRYBLXZPA,
2_Chapter_1,29,177,text,,現在，請你仔細看看榕樹的其他部分。你能找到榕樹的莖嗎?,,default,,5,188,189,GNLAFAHYAZLOSPKODZQQXGZITJDAKPJVKPMKBMGYVBYMPI,
2_Chapter_1,29,178,tip,,榕樹的莖是從底部開始，支撐著整棵樹。它通常是粗壯的，並且連接著樹的根和葉子。你能找到它嗎?,,default,,5,190,191,BKKUHHAATTCBTPCUVXKNRRRXPQKXSIFIZIRIGZACNIZALZ,
2_Chapter_1,29,179,tip,,榕樹的莖從地面延伸上去，是樹的主要支撐部分，連接根部和樹冠。它通常是粗壯的，並支撐著整棵樹。,,default,,-1,192,193,ZNTOLEMWBGWPAOKCKYKHJCOXACWJYIMQQZQCEQGJISNMQK,
2_Chapter_1,30,180,text,,很好，這就是榕樹的莖，也是樹幹。榕樹的樹幹很粗壯，可以支撐整棵大樹，而且它還能運輸水分和養分。,,default,,-1,194,195,JYQEYSHYDKFLPQITIWLFMPULOPQILYMGJDZKLTGGZVOZMN,
2_Chapter_1,31,181,text,,讓我們再來看看榕樹的底部。你能找到榕樹的根嗎?,,default,,5,196,197,TZYTDKTJBNLBZSEAJZUZBJGUBHDDKMLHDTSPWDCDEZAKUJ,
2_Chapter_1,31,182,tip,,這些根部通常位於榕樹的底部，它們像樹的‘腳’一樣，幫助樹吸收水分和養分。你能找到這些細長的部分嗎?,,default,,5,198,199,BAPLWEKBAYDQSIFGROJYAMOJDOGKVCXHFIGFFZRWMTEFMQ,
2_Chapter_1,31,183,tip,,榕樹的根會從樹的底部向下伸展，這部分幫助樹木固定在土壤中並吸收養分。,,default,,-1,200,201,XCDNRKCXLOMLLTZECFDIESMVQVPEVIDMWHPXRSQPLPRRYJ,
2_Chapter_1,32,184,text,,很好，這些是榕樹的根。我們可以看到公園中間的大榕樹，不僅有普通的地下根，還會長出氣生根。氣生根也能幫助榕樹吸收水分和養分，並提供額外的支撐。,,default,,-1,202,203,UTZFILUHEDRTRPOMJKZFLRMJDJVBTMCAQVUFMLVSVUEAWM,
2_Chapter_1,33,185,text,,恭喜你完成第一單元，讓我們到下一單元去看看葉子不同的生長方式吧!,,default,,-1,204,205,VMNEMWNONFBQWEQBTAUYEMSABTIKDDCQMHDUKHZORSZKKW,
3_Chapter_2,0,201,text,,歡迎來到第二單元，在這單元裡，我們要來認識什麼是互生、對生、以及輪生哦!,,default,,3,136,137,SYUDWEFURCYLGYUVTWVFILZECLLDMXQKZWYMQFRLEMVLHT,
3_Chapter_2,1,202,text,,在上一單元中，我們知道植物依靠葉子來獲取陽光並且行光合作用。,,default,,3,138,139,OGSKHLAWBZZAXCYKHCLCGIIQLDKGLAQDJDZYTBKAQSAJRN,
3_Chapter_2,2,203,text,,而為了能夠獲取足夠的陽光，不同植物的葉子在枝條上面的排列也是有特別的方式。,,default,,3,140,141,XSJXWNQGZFHPKKOSLZFZPNNQELPZFQGQSMVIQNSCIFQQFP,
3_Chapter_2,3,204,text,,先讓我們拿起周邊的枝條來觀察看看吧!,,default,,-1,142,143,DEMCQNVSBYTIGPMNSYUMBDSKPUHJNHYEHFOLDUCBHVSVGD,
3_Chapter_2,4,205,text,,我們可以看到，在你拿起的枝條上面有莖也有葉子。,,default,,3,144,145,SFVHXVNNGBULDMYMJXIEIDXNETJHJZEKDHACXPVINAQEHS,
3_Chapter_2,5,206,text,,在枝條的上面有凸凸的、長出葉子的地方，你能夠找出來在哪裡嗎?,,default,,5,146,147,XLPQBMNXHZWODYREXBARVSRBBPSZLJDTKGWDSZGPATVOZA,
3_Chapter_2,5,,tip,,仔細看看枝條上的一些小突起或隆起的地方，那些地方是葉子從莖上長出來的地方。,,default,,5,,,,
3_Chapter_2,5,207,tip,,找找看，位在莖與葉子的交接處。這個部分就是葉子生長的地方，通常是莖上有一些明顯的小節點或環形突起。,,default,,-1,148,149,GPAKYSEMNRUNPIESPCXLXUOMEEUMMLBCDUDGWFHPPVDSAT,
3_Chapter_2,6,208,text,,沒錯，這個地方我們稱之為「節」，葉子都是從莖上面的「節」長出來的哦!,,default,,3,150,151,WCQYKDXIEWFZWMGTRDMXLQLXCRBVVRFRWFASOIUNPJLERJ,
3_Chapter_2,7,209,text,,而葉子在莖上面的排列方式叫做「葉序」，植物會因為想要獲取足夠的陽光，而產生不同的葉序。,,default,,3,152,153,FFPQUNWXNZVSSGGVGPFAEYDDJPUNRFJMCWOKUBHZBFPRPC,
3_Chapter_2,8,210,question,,接著讓我們來觀察看看榕樹的長相吧!仔細觀察，榕樹枝條上的一個節，上面長了幾片葉子呢?,,default,,-1,154,155,CDUHPUGJFTXBFILLESLFYUUFCRZLWHEGLOCMBCUTPKNNNS,
3_Chapter_2,8,211,answer,1片,沒錯，榕樹的一個節上面只長了一片葉子，我們將這種葉序稱為「互生」。,,default,TRUE,0,156,157,SYYRJUURNJWKWSEIEUTXPLKAOIVQVUPSTHHIAFEDWUWRWK,
3_Chapter_2,8,212,answer,2片,再仔細觀察看看吧!,,default,FALSE,0,158,159,LLZLVEJZUNESQEICNJIYMWKFCPYAJDNZHAUVHICFDOMFUX,
3_Chapter_2,8,213,answer,3片以上,再仔細觀察看看吧!,,default,FALSE,0,160,161,DBVGVKIMWPZXFWDIQUQNBDBPKBPWXZOTRLBYISJNLYYPCZ,
3_Chapter_2,9,214,text,,互生的葉序可以讓每片葉子都接觸到陽光，有助於植物在光線充足的地方生長。,,default,,3,162,163,GVTGDBDKDHVDSPPUOOTQEWWQQLITDTHLFISVRCSPKRSIDT,
3_Chapter_2,10,215,question,,榕樹的葉片以互生的方式排列，是否與它生長的環境有所關聯呢?想想看，榕樹通常生長在什麼樣的環境呢?,,default,,-1,164,165,PCPVIIWJQEJZPDGTYNDIVPOJERLYVKGATWIJFIZEQBMIFF,
3_Chapter_2,10,216,answer,陽光及水分皆足夠的地方,沒錯，榕樹通常生長在陽光充足、水分豐富的環境中。,,default,TRUE,0,166,167,UOHVFBCXAZRPDNIKORTZZMHHCVTXHBDOFTFYPAYSIJTIOT,
3_Chapter_2,10,217,answer,濕潤、時常下雨的地方,再想想看。雖然濕潤的地方有助於榕樹生長，然而，陽光也是必不可少的，這樣葉片才能夠充分進行光合作用。,,default,FALSE,0,168,169,FOPHLXWXFBHLCHHAVEIDELREJEKWVVAIDXNGBLKOTSIOYO,
3_Chapter_2,10,218,answer,乾燥、容易缺水的地方,再想想看。互生的葉片排列方式主要有利於最大化地利用陽光和保持適當的通風，但乾燥、容易缺水的環境並不適合榕樹的生長。,,default,FALSE,0,170,171,DAUXXXLOXQPPCVLLFOTQUJGVXAWCOONAGJPGAWOOPZOQVH,
